ID;Name;Tag;total_pop;aristocrats_pc;aristocrats_bd;capitalists_pc;capitalists_bd;bureaucrats_pc;bureaucrats_bd;officers_pc;officers_bd;soldiers_pc;soldiers_bd;clergymen_pc;clergymen_bd;artisans_pc;artisans_bd;clerks_pc;clerks_bd;craftsmen_pc;craftsmen_bd;slaves_pc;slaves_bd;farmers_labourers_pc;farmers_labourers_bd;comment
133;Outer Sol IV;TER;114000;0.84;100 terran;;;0.86;100 terran;0.124;100 terran;1.82;100 terran;1.76;100 terran;19.3;100 terran;;;;;;;rest;100 terran;
134;Outer Sol V;TER;115500;1.34;100 terran;;;0.66;100 terran;0.067;100 terran;1.65;100 terran;1.68;100 terran;17.45;100 terran;;;;;;;rest;100 terran;
135;Outer Sol VI;TER;95000;1.78;100 terran;;;0.8;100 terran;0.121;100 terran;1.67;100 terran;1.75;100 terran;18.83;100 terran;;;;;;;rest;100 terran;
136;Outer Sol VII;TER;96000;1.42;100 terran;;;0.65;100 terran;0.118;100 terran;1.48;100 terran;1.76;100 terran;17.87;100 terran;;;;;;;rest;100 terran;
137;Outer Sol VIII;TER;132000;0.92;100 terran;;;0.73;100 terran;0.144;100 terran;1.52;100 terran;1.58;100 terran;18.51;100 terran;;;;;;;rest;100 terran;
138;Outer Sol IX;TER;101500;1.88;100 terran;;;0.73;100 terran;0.067;100 terran;1.36;100 terran;1.68;100 terran;18.79;100 terran;;;;;;;rest;100 terran;
139;Outer Sol X;TER;86750;0.81;100 terran;;;0.62;100 terran;0.073;100 terran;1.1;100 terran;1.59;100 terran;20.0;100 terran;;;;;;;rest;100 terran;
140;Outer Sol XI;TER;75500;0.52;100 terran;;;0.81;100 terran;0.082;100 terran;1.78;100 terran;1.74;100 terran;17.16;100 terran;;;;;;;rest;100 terran;
141;Inner Sol I;TER;135000;0.9;100 terran;;;0.74;100 terran;0.058;100 terran;1.67;100 terran;1.71;100 terran;19.4;100 terran;;;;;;;rest;100 terran;
142;Inner Sol II;TER;132500;1.17;100 terran;;;0.81;100 terran;0.145;100 terran;1.0;100 terran;1.57;100 terran;20.0;100 terran;;;;;;;rest;100 terran;
143;Inner Sol III;TER;95500;0.59;100 terran;;;0.76;100 terran;0.112;100 terran;1.78;100 terran;1.65;100 terran;18.78;100 terran;;;;;;;rest;100 terran;
144;Inner Sol IV;TER;92500;0.76;100 terran;;;0.77;100 terran;0.061;100 terran;1.99;100 terran;1.68;100 terran;20.0;100 terran;;;;;;;rest;100 terran;
145;Inner Sol V;TER;96500;1.05;100 terran;;;0.76;100 terran;0.098;100 terran;1.41;100 terran;1.57;100 terran;20.0;100 terran;;;;;;;rest;100 terran;
146;Inner Sol VI;TER;114750;1.36;100 terran;;;0.69;100 terran;0.06;100 terran;1.92;100 terran;1.55;100 terran;20.0;100 terran;;;;;;;rest;100 terran;
147;Inner Sol VII;TER;150500;0.7;100 terran;;;0.87;100 terran;0.146;100 terran;1.22;100 terran;1.64;100 terran;20.0;100 terran;;;;;;;rest;100 terran;
148;Inner Sol VIII;TER;75750;1.04;100 terran;;;0.63;100 terran;0.086;100 terran;1.63;100 terran;1.52;100 terran;18.56;100 terran;;;;;;;rest;100 terran;
149;Inner Sol IX;TER;80500;1.84;100 terran;;;0.86;100 terran;0.05;100 terran;1.8;100 terran;1.65;100 terran;19.02;100 terran;;;;;;;rest;100 terran;
150;Inner Sol X;TER;94750;1.97;100 terran;;;0.86;100 terran;0.124;100 terran;1.41;100 terran;1.78;100 terran;20.0;100 terran;;;;;;;rest;100 terran;
151;Inner Sol XI;TER;95750;1.49;100 terran;;;0.75;100 terran;0.083;100 terran;1.29;100 terran;1.75;100 terran;17.05;100 terran;;;;;;;rest;100 terran;
152;Inner Sol XII;TER;91000;1.54;100 terran;;;0.83;100 terran;0.115;100 terran;1.14;100 terran;1.52;100 terran;20.0;100 terran;;;;;;;rest;100 terran;
153;Brennan's Triumph I;PIO;10500;1.38;100 terran;;;0.8;100 terran;0.128;100 terran;1.54;100 terran;1.38;100 terran;12.81;100 terran;;;;;;;rest;100 terran;
154;Brennan's Triumph II;PIO;12050;0.71;100 terran;;;0.78;100 terran;0.057;100 terran;1.31;100 terran;1.3;100 terran;12.44;100 terran;;;;;;;rest;100 terran;
155;Brennan's Triumph III;PIO;15500;0.55;100 terran;;;0.69;100 terran;0.105;100 terran;1.48;100 terran;1.3;100 terran;14.37;100 terran;;;;;;;rest;100 terran;
156;Brennan's Triumph IV;PIO;8900;0.53;100 terran;;;0.7;100 terran;0.145;100 terran;1.62;100 terran;0.82;100 terran;12.29;100 terran;;;;;;;rest;100 terran;
157;Brennan's Triumph V;PIO;9200;1.87;100 terran;;;0.7;100 terran;0.073;100 terran;1.23;100 terran;1.33;100 terran;12.72;100 terran;;;;;;;rest;100 terran;
158;Brennan's Triumph VI;PIO;9500;1.55;100 terran;;;0.69;100 terran;0.075;100 terran;1.41;100 terran;0.94;100 terran;12.17;100 terran;;;;;;;rest;100 terran;
159;Circle of Deceit I;;250;2.91;100 terran;;;0.2;100 terran;0.117;100 terran;0.28;80 terran 20 paranid;0.65;100 terran;4.38;80 terran 20 paranid;;;;;1.44;100 terran;rest;80 terran 20 paranid;
160;Circle of Deceit II;;200;0.55;100 terran;;;0.13;100 terran;0.056;100 terran;0.75;85 terran 15 paranid;0.41;100 terran;3.62;85 terran 15 paranid;;;;;1.38;100 terran;rest;85 terran 15 paranid;
161;Circle of Deceit III;;150;2.09;100 terran;;;0.14;100 terran;0.132;100 terran;0.8;90 terran 10 paranid;0.43;100 terran;2.8;90 terran 10 paranid;;;;;3.87;100 terran;rest;90 terran 10 paranid;
162;Circle of Deceit IV;;350;1.71;100 terran;;;0.14;100 terran;0.13;100 terran;0.47;95 terran 5 paranid;0.34;100 terran;5.47;95 terran 5 paranid;;;;;3.33;100 terran;rest;95 terran 5 paranid;
163;Sanctum Verge I;;500;2.33;100 paranid;;;0.18;100 paranid;0.145;100 paranid;0.41;80 paranid 20 argon;0.68;100 paranid;5.4;80 paranid 20 argon;;;;;4.44;100 paranid;rest;80 paranid 20 argon;
164;Sanctum Verge II;;750;1.3;100 paranid;;;0.15;100 paranid;0.133;100 paranid;0.73;85 paranid 15 teladi;0.36;100 paranid;7.52;85 paranid 15 teladi;;;;;1.67;100 paranid;rest;85 paranid 15 teladi;
165;Sanctum Verge III;;800;3;100 paranid;;;0.16;100 paranid;0.108;100 paranid;0.59;80 paranid 10 argon 10 teladi;0.69;100 paranid;7.72;80 paranid 10 argon 10 teladi;;;;;2.96;100 paranid;rest;80 paranid 10 argon 10 teladi;
166;Sanctum Verge IV;;650;0.69;100 paranid;;;0.13;100 paranid;0.096;100 paranid;0.86;90 paranid 5 argon 5 teladi;0.51;100 paranid;6.26;90 paranid 5 argon 5 teladi;;;;;1.4;100 paranid;rest;90 paranid 5 argon 5 teladi;
167;Sanctum Verge V;;700;1.87;100 paranid;;;0.13;100 paranid;0.104;100 paranid;0.81;90 paranid 10 teladi;0.32;100 paranid;7.15;90 paranid 10 teladi;;;;;2.79;100 paranid;rest;90 paranid 10 teladi;
168;Tempting Fumes I;;150;2.34;100 paranid;;;0.11;100 paranid;0.114;100 paranid;0.59;95 paranid 10 argon 5 teladi;0.58;100 paranid;2.98;95 paranid 10 argon 5 teladi;;;;;4.75;100 paranid;rest;95 paranid 10 argon 5 teladi;
169;Tempting Fumes II;;200;2.75;100 paranid;;;0.12;100 paranid;0.148;100 paranid;0.57;80 paranid 20 argon;0.52;100 paranid;3.45;80 paranid 20 argon;;;;;4.75;100 paranid;rest;80 paranid 20 argon;
170;Tempting Fumes III;;250;2.34;100 paranid;;;0.13;100 paranid;0.065;100 paranid;0.69;85 paranid 15 teladi;0.26;100 paranid;4.05;85 paranid 15 teladi;;;;;4.0;100 paranid;rest;85 paranid 15 teladi;
171;Tempting Fumes IV;;100;2.26;100 paranid;;;0.19;100 paranid;0.099;100 paranid;0.7;80 paranid 10 argon 10 teladi;0.66;100 paranid;2.0;80 paranid 10 argon 10 teladi;;;;;4.76;100 paranid;rest;80 paranid 10 argon 10 teladi;
172;Tempting Fumes V;;300;2.48;100 paranid;;;0.15;100 paranid;0.095;100 paranid;0.61;90 paranid 5 argon 5 teladi;0.39;100 paranid;4.49;90 paranid 5 argon 5 teladi;;;;;3.81;100 paranid;rest;90 paranid 5 argon 5 teladi;
173;Tempting Fumes VI;;350;2.79;100 paranid;;;0.11;100 paranid;0.075;100 paranid;0.66;90 paranid 10 teladi;0.26;100 paranid;4.82;90 paranid 10 teladi;;;;;1.02;100 paranid;rest;90 paranid 10 teladi;
174;Cardinal's Domain I;GOD;75000;2.06;100 paranid;;;0.74;100 paranid;0.066;100 paranid;1.37;100 paranid;1.33;100 paranid;18.66;100 paranid;;;;;3.82;45 paranid 14 teladi 22 boron 19 split;rest;100 paranid;
175;Cardinal's Domain II;GOD;76750;3.06;100 paranid;;;0.64;100 paranid;0.128;100 paranid;1.69;100 paranid;1.32;100 paranid;18.13;100 paranid;;;;;2.78;48 paranid 12 argon 17 split 23 teladi;rest;100 paranid;
176;Cardinal's Domain III;GOD;81250;3.7;100 paranid;;;0.77;100 paranid;0.108;100 paranid;1.49;100 paranid;1.22;100 paranid;20.0;100 paranid;;;;;4.47;46 paranid 20 split 16 argon 18 teladi;rest;100 paranid;
177;Cardinal's Domain IV;GOD;78750;3.61;100 paranid;;;0.73;100 paranid;0.119;100 paranid;1.13;100 paranid;1.16;100 paranid;19.71;100 paranid;;;;;3.23;46 paranid 14 argon 20 teladi 20 boron;rest;100 paranid;
178;Cardinal's Domain V;GOD;65000;2.25;100 paranid;;;0.86;100 paranid;0.076;100 paranid;1.63;100 paranid;1.26;100 paranid;16.57;100 paranid;;;;;4.05;43 paranid 24 teladi 15 argon 18 split;rest;100 paranid;
179;Cardinal's Domain VI;GOD;62500;3.37;100 paranid;;;0.68;100 paranid;0.098;100 paranid;1.32;100 paranid;1.28;100 paranid;18.86;100 paranid;;;;;2.75;50 paranid 17 argon 18 boron 15 teladi;rest;100 paranid;
180;Sacred Relic I;ALI;82250;3.59;100 paranid;;;0.86;100 paranid;0.066;100 paranid;1.34;100 paranid;1.84;100 paranid;17.38;100 paranid;;;;;3.98;42 paranid 18 split 19 boron 21 argon;rest;100 paranid;
181;Sacred Relic II;ALI;42500;2.72;100 paranid;;;0.67;100 paranid;0.065;100 paranid;1.58;100 paranid;1.8;100 paranid;17.4;100 paranid;;;;;4.54;41 paranid 17 split 26 argon 16 teladi;rest;100 paranid;
182;Sacred Relic III;ALI;39500;2.87;100 paranid;;;0.89;100 paranid;0.063;100 paranid;1.87;100 paranid;1.81;100 paranid;16.19;100 paranid;;;;;2.36;40 paranid 27 teladi 13 boron 20 argon;rest;100 paranid;
183;Sacred Relic IV;ALI;38750;2.15;100 paranid;;;0.79;100 paranid;0.115;100 paranid;1.4;100 paranid;1.84;100 paranid;17.97;100 paranid;;;;;3.85;47 paranid 19 teladi 22 argon 12 boron;rest;100 paranid;
184;Sacred Relic V;ALI;32500;2.75;100 paranid;;;0.61;100 paranid;0.135;100 paranid;1.4;100 paranid;1.74;100 paranid;15.83;100 paranid;;;;;1.21;44 paranid 19 split 15 teladi 22 argon;rest;100 paranid;
185;Freedom's Reach I;;1500;2.02;100 paranid;;;0.18;100 paranid;0.107;100 paranid;0.73;65 paranid 35 teladi;0.34;100 paranid;9.26;65 paranid 35 teladi;;;;;1.83;68 paranid 32 split;rest;65 paranid 35 teladi;
186;Freedom's Reach II;;1250;0.7;100 paranid;;;0.13;100 paranid;0.128;100 paranid;0.89;95 paranid 5 teladi;0.49;100 paranid;8.87;95 paranid 5 teladi;;;;;2.77;71 paranid 29 split;rest;95 paranid 5 teladi;
187;Freedom's Reach III;;750;2.1;100 paranid;;;0.14;100 paranid;0.058;100 paranid;0.85;90 paranid 10 teladi;0.63;100 paranid;6.46;90 paranid 10 teladi;;;;;4.12;100 paranid;rest;90 paranid 10 teladi;
188;Freedom's Reach IV;;950;2.98;100 paranid;;;0.11;100 paranid;0.102;100 paranid;0.99;90 paranid 5 teladi 5 argon;0.65;100 paranid;8.1;90 paranid 5 teladi 5 argon;;;;;3.26;100 paranid;rest;90 paranid 5 teladi 5 argon;
189;Lasting Vengeance I;HOP;54500;3.64;100 paranid;;;0.85;100 paranid;0.064;100 paranid;1.06;100 paranid;1.36;100 paranid;15.94;100 paranid;;;;;1.44;43 paranid 25 teladi 17 boron 15 argon;rest;100 paranid;
190;Lasting Vengeance II;HOP;49500;3.18;100 paranid;;;0.63;100 paranid;0.102;100 paranid;1.53;100 paranid;1.23;100 paranid;16.13;100 paranid;;;;;1.57;46 paranid 15 split 22 boron 17 argon;rest;100 paranid;
191;Lasting Vengeance III;HOP;48750;2.17;100 paranid;;;0.82;100 paranid;0.075;100 paranid;1.36;100 paranid;1.31;100 paranid;16.36;100 paranid;;;;;1.83;45 paranid 20 teladi 16 split 19 boron;rest;100 paranid;
192;Lasting Vengeance IV;HOP;35500;3.21;100 paranid;;;0.72;100 paranid;0.075;100 paranid;1.36;100 paranid;1.13;100 paranid;16.94;100 paranid;;;;;2.57;44 paranid 14 teladi 26 argon 16 boron;rest;100 paranid;
193;Lasting Vengeance V;SKK;24500;0.27;100 khaak;;;0.17;100 khaak;0.142;100 khaak;3.62;100 khaak;0.44;100 khaak;14.24;100 khaak;;;;;4.7;43 khaak 16 argon 18 split 23 paranid;rest;100 khaak;
194;Cardinal's Redress I;HOP;16500;2.32;100 paranid;;;0.69;100 paranid;0.105;100 paranid;1.59;100 paranid;1.12;100 paranid;14.74;100 paranid;;;;;3.87;59 paranid 22 split 19 argon;rest;100 paranid;
195;Cardinal's Redress II;HOP;15750;3.52;100 paranid;;;0.62;100 paranid;0.074;100 paranid;1.76;100 paranid;1.35;100 paranid;15.72;100 paranid;;;;;3.84;55 paranid 27 boron 18 argon;rest;100 paranid;
196;Cardinal's Redress III;HOP;12000;1.25;100 paranid;;;0.87;100 paranid;0.099;100 paranid;1.66;100 paranid;1.4;100 paranid;12.49;100 paranid;;;;;2.85;57 paranid 22 split 21 boron;rest;100 paranid;
197;Cardinal's Redress IV;HOP;13750;3.25;100 paranid;;;0.8;100 paranid;0.078;100 paranid;1.07;100 paranid;1.3;100 paranid;15.11;100 paranid;;;;;2.9;52 paranid 23 teladi 25 argon;rest;100 paranid;
198;Cardinal's Redress V;HOP;14250;1.09;100 paranid;;;0.65;100 paranid;0.129;100 paranid;1.47;100 paranid;1.33;100 paranid;14.22;100 paranid;;;;;4.5;57 paranid 18 argon 25 teladi;rest;100 paranid;
199;Cardinal's Redress VI;HOP;9750;2.8;100 paranid;;;0.89;100 paranid;0.09;100 paranid;1.83;100 paranid;1.21;100 paranid;13.29;100 paranid;;;;;1.56;57 paranid 23 boron 20 argon;rest;100 paranid;
200;Cardinal's Redress VII;HOP;11000;2.44;100 paranid;;;0.87;100 paranid;0.134;100 paranid;1.39;100 paranid;1.34;100 paranid;13.52;100 paranid;;;;;3.98;55 paranid 25 teladi 20 argon;rest;100 paranid;
201;Cardinal's Redress VIII;HOP;12250;1.69;100 paranid;;;0.65;100 paranid;0.109;100 paranid;1.28;100 paranid;1.13;100 paranid;13.68;100 paranid;;;;;2.49;50 paranid 24 argon 26 split;rest;100 paranid;
202;Gaian Prophecy I;PIO;8500;1.55;100 terran;;;0.61;100 terran;0.115;100 terran;1.36;100 terran;1.06;100 terran;12.86;100 terran;;;;;;;rest;100 terran;
203;Gaian Prophecy II;PIO;8250;1.25;100 terran;;;0.78;100 terran;0.111;100 terran;1.61;100 terran;1.05;100 terran;13.95;100 terran;;;;;;;rest;100 terran;
204;Gaian Prophecy III;PIO;9000;1.42;100 terran;;;0.64;100 terran;0.109;100 terran;1.3;100 terran;1.4;100 terran;14.12;100 terran;;;;;;;rest;100 terran;
205;Gaian Prophecy IV;PIO;7750;1.88;100 terran;;;0.82;100 terran;0.056;100 terran;1.17;100 terran;0.92;100 terran;13.46;100 terran;;;;;;;rest;100 terran;
206;Gaian Prophecy V;PIO;6750;0.88;100 terran;;;0.74;100 terran;0.129;100 terran;1.01;100 terran;0.91;100 terran;12.9;100 terran;;;;;;;rest;100 terran;
207;Gaian Prophecy VI;PIO;5950;0.52;100 terran;;;0.81;100 terran;0.111;100 terran;1.13;100 terran;0.86;100 terran;11.67;100 terran;;;;;;;rest;100 terran;
208;Gaian Prophecy VII;PIO;4500;0.95;100 terran;;;0.77;100 terran;0.072;100 terran;1.68;100 terran;1.39;100 terran;10.3;100 terran;;;;;;;rest;100 terran;
209;Segaris I;PIO;17500;1.52;100 terran;;;0.83;100 terran;0.1;100 terran;1.07;100 terran;1.02;100 terran;15.76;100 terran;;;;;;;rest;100 terran;
210;Segaris II;PIO;16500;0.8;100 terran;;;0.85;100 terran;0.145;100 terran;1.33;100 terran;1.43;100 terran;14.51;100 terran;;;;;;;rest;100 terran;
211;Segaris III;PIO;16250;0.75;100 terran;;;0.78;100 terran;0.115;100 terran;1.28;100 terran;1.02;100 terran;14.57;100 terran;;;;;;;rest;100 terran;
212;Segaris IV;PIO;11500;1.86;100 terran;;;0.78;100 terran;0.105;100 terran;1.81;100 terran;1.39;100 terran;14.21;100 terran;;;;;;;rest;100 terran;
213;Segaris V;PIO;14450;1.49;100 terran;;;0.7;100 terran;0.103;100 terran;1.83;100 terran;0.94;100 terran;13.77;100 terran;;;;;;;rest;100 terran;
214;Segaris VI;PIO;9250;1.16;100 terran;;;0.64;100 terran;0.057;100 terran;1.04;100 terran;1.43;100 terran;13.08;100 terran;;;;;;;rest;100 terran;
215;Segaris VII;PIO;11500;1.84;100 terran;;;0.63;100 terran;0.1;100 terran;1.14;100 terran;1.48;100 terran;14.01;100 terran;;;;;;;rest;100 terran;
216;Segaris VIII;PIO;12500;0.99;100 terran;;;0.86;100 terran;0.093;100 terran;1.25;100 terran;1.41;100 terran;14.55;100 terran;;;;;;;rest;100 terran;
217;Segaris IX;PIO;14000;1.5;100 terran;;;0.66;100 terran;0.114;100 terran;1.15;100 terran;1.28;100 terran;12.82;100 terran;;;;;;;rest;100 terran;
218;Ore Belt I;;250;1;100 argon;;;0.14;100 argon;0.086;100 argon;0.61;75 argon 25 teladi;0.7;100 argon;3.84;75 argon 25 teladi;;;;;4.64;100 argon;rest;75 argon 25 teladi;
219;Ore Belt II;;550;1.58;100 argon;;;0.13;100 argon;0.064;100 argon;0.96;70 argon 30 teladi;0.71;100 argon;6.76;70 argon 30 teladi;;;;;3.05;100 argon;rest;70 argon 30 teladi;
220;Ore Belt III;;450;2.51;100 argon;;;0.16;100 argon;0.135;100 argon;0.55;65 argon 35 teladi;0.73;100 argon;6.11;65 argon 35 teladi;;;;;2.32;100 argon;rest;65 argon 35 teladi;
221;Ore Belt IV;;300;2.79;100 argon;;;0.15;100 argon;0.075;100 argon;0.76;80 argon 20 teladi;0.39;100 argon;4.96;80 argon 20 teladi;;;;;4.38;100 argon;rest;80 argon 20 teladi;
222;Ore Belt V;;600;2.7;100 argon;;;0.19;100 argon;0.073;100 argon;0.63;85 argon 15 teladi;0.67;100 argon;6.86;85 argon 15 teladi;;;;;3.49;100 argon;rest;85 argon 15 teladi;
223;Ore Belt VI;;200;1.46;100 argon;;;0.14;100 argon;0.094;100 argon;0.94;80 argon 20 teladi;0.64;100 argon;3.8;80 argon 20 teladi;;;;;3.15;100 argon;rest;80 argon 20 teladi;
224;Third Redemption I;;350;1.96;100 argon;;;0.14;100 argon;0.144;100 argon;0.54;50 argon 50 paranid;0.42;100 argon;4.58;50 argon 50 paranid;;;;;4.49;100 argon;rest;50 argon 50 paranid;
225;Third Redemption II;;250;1.29;100 paraid;;;0.17;100 paraid;0.12;100 paraid;0.75;45 argon 55 paraid;0.33;100 paraid;4.19;45 argon 55 paraid;;;;;2.03;100 paraid;rest;45 argon 55 paraid;
226;Third Redemption III;;550;0.84;100 argon;;;0.17;100 argon;0.064;100 argon;0.34;55 argon 55 paranid;0.7;100 argon;6.1;55 argon 55 paranid;;;;;1.74;100 argon;rest;55 argon 55 paranid;
227;Third Redemption IV;;450;1.74;100 argon;;;0.19;100 argon;0.06;100 argon;0.53;60 argon 40 paranid;0.49;100 argon;5.79;60 argon 40 paranid;;;;;1.49;100 argon;rest;60 argon 40 paranid;
228;Third Redemption V;;300;2.59;100 paranid;;;0.13;100 paranid;0.1;100 paranid;0.28;40 argon 60 paranid;0.52;100 paranid;4.85;40 argon 60 paranid;;;;;3.8;100 paranid;rest;40 argon 60 paranid;
229;Third Redemption VI;;600;2.62;100 paranid;;;0.19;100 paranid;0.056;100 paranid;0.63;35 argon 65 paranid;0.69;100 paranid;6.46;35 argon 65 paranid;;;;;2.93;100 paranid;rest;35 argon 65 paranid;
230;Third Redemption VII;;200;2.28;100 paranid;;;0.2;100 paranid;0.073;100 paranid;0.73;30 argon 70 paranid;0.49;100 paranid;4.0;30 argon 70 paranid;;;;;2.47;100 paranid;rest;30 argon 70 paranid;
231;Frontier Edge I;;300;2.88;100 argon;;;0.2;100 argon;0.061;100 argon;0.39;85 argon 15 teladi;0.38;100 argon;4.39;85 argon 15 teladi;;;;;1.95;100 argon;rest;85 argon 15 teladi;
232;Frontier Edge II;;600;1.19;100 argon;;;0.11;100 argon;0.136;100 argon;0.61;80 argon 15 teladi 5 paranid;0.59;100 argon;5.97;80 argon 15 teladi 5 paranid;;;;;4.35;100 argon;rest;80 argon 15 teladi 5 paranid;
233;Frontier Edge III;;200;0.92;100 argon;;;0.14;100 argon;0.139;100 argon;0.76;80 argon 10 teladi 10 paranid;0.52;100 argon;3.65;80 argon 10 teladi 10 paranid;;;;;3.46;100 argon;rest;80 argon 10 teladi 10 paranid;
234;Frontier Edge IV;;350;1.63;100 argon;;;0.18;100 argon;0.137;100 argon;0.49;70 argon 15 teladi 15 paranid;0.39;100 argon;5.24;70 argon 15 teladi 15 paranid;;;;;3.61;100 argon;rest;70 argon 15 teladi 15 paranid;
235;Frontier Edge V;;250;1.19;100 argon;;;0.18;100 argon;0.115;100 argon;0.95;75 argon 10 teladi 15 paranid;0.6;100 argon;4.68;75 argon 10 teladi 15 paranid;;;;;1.86;100 argon;rest;75 argon 10 teladi 15 paranid;
236;Frontier Edge VI;;400;1.04;100 argon;;;0.1;100 argon;0.054;100 argon;0.31;75 argon 20 teladi 5 paranid;0.7;100 argon;5.38;75 argon 20 teladi 5 paranid;;;;;2.46;100 argon;rest;75 argon 20 teladi 5 paranid;
237;Atiya's Misfortune I;XEN;150000;0.27;100 xenon;;;0.78;100 xenon;0.021;100 xenon;1.54;100 xenon;1.12;100 xenon;19.4;100 xenon;;;;;4.68;46 boron 17 teladi 16 split 21 argon;rest;100 xenon;
238;Atiya's Misfortune II;XEN;125500;0.35;100 xenon;;;0.84;100 xenon;0.043;100 xenon;2.47;100 xenon;1.41;100 xenon;18.2;100 xenon;;;;;4.57;57 paranid 13 split 13 boron 17 teladi;rest;100 xenon;
239;Atiya's Misfortune III;XEN;125000;0.3;100 xenon;;;0.85;100 xenon;0.012;100 xenon;2.45;100 xenon;1.38;100 xenon;18.78;100 xenon;;;;;3.44;46 teladi 17 paranid 24 boron 13 argon;rest;100 xenon;
240;Atiya's Misfortune IV;XEN;106500;0.23;100 xenon;;;0.81;100 xenon;0.03;100 xenon;1.74;100 xenon;1.26;100 xenon;20.0;100 xenon;;;;;1.21;38 paranid 11 split 26 teladi 25 boron;rest;100 xenon;
241;Atiya's Misfortune V;XEN;114500;0.44;100 xenon;;;0.74;100 xenon;0.042;100 xenon;1.26;100 xenon;1.1;100 xenon;18.93;100 xenon;;;;;2.29;45 split 16 paranid 13 argon 26 teladi;rest;100 xenon;
242;Atiya's Misfortune VI;XEN;95500;0.49;100 xenon;;;0.78;100 xenon;0.02;100 xenon;1.5;100 xenon;1.33;100 xenon;18.75;100 xenon;;;;;4.88;43 teladi 12 argon 21 split 24 boron;rest;100 xenon;
243;Atiya's Misfortune VII;XEN;89500;0.28;100 xenon;;;0.71;100 xenon;0.024;100 xenon;1.61;100 xenon;1.14;100 xenon;18.73;100 xenon;;;;;3.75;42 boron 25 argon 17 teladi 16 paranid;rest;100 xenon;
244;Mists of Artemis I;;550;0.69;100 argon;;;0.13;100 argon;0.114;100 argon;0.52;50 argon 50 teladi;0.38;100 argon;6.75;50 argon 50 teladi;;;;;4.1;100 argon;rest;50 argon 50 teladi;
245;Mists of Artemis II;;450;0.58;100 argon;;;0.14;100 argon;0.116;100 argon;0.57;55 argon 45 teladi;0.68;100 argon;6.16;55 argon 45 teladi;;;;;4.88;100 argon;rest;55 argon 45 teladi;
246;Mists of Artemis III;;300;2.68;100 teladi;;;0.18;100 teladi;0.065;100 teladi;0.52;45 argon 55 teladi;0.39;100 teladi;4.32;45 argon 55 teladi;;;;;2.02;100 teladi;rest;45 argon 55 teladi;
247;Mists of Artemis IV;;600;0.6;100 teladi;;;0.16;100 teladi;0.129;100 teladi;0.91;40 argon 60 teladi;0.3;100 teladi;7.0;40 argon 60 teladi;;;;;1.64;100 teladi;rest;40 argon 60 teladi;
248;Mists of Artemis V;;200;2.27;100 argon;;;0.14;100 argon;0.058;100 argon;0.28;60 argon 40 teladi;0.67;100 argon;3.98;60 argon 40 teladi;;;;;3.31;100 argon;rest;60 argon 40 teladi;
249;Faulty Logic I;XEN;32500;0.33;100 xenon;;;0.75;100 xenon;0.016;100 xenon;2.27;100 xenon;1.5;100 xenon;15.89;100 xenon;;;;;2.26;41 teladi 14 paranid 22 boron 23 split;rest;100 xenon;
250;Faulty Logic II;XEN;31500;0.22;100 xenon;;;0.76;100 xenon;0.023;100 xenon;1.57;100 xenon;1.15;100 xenon;17.57;100 xenon;;;;;3.62;46 paranid 17 teladi 15 split 22 argon;rest;100 xenon;
251;Faulty Logic III;XEN;26000;0.42;100 xenon;;;0.83;100 xenon;0.018;100 xenon;2.47;100 xenon;1.2;100 xenon;17.17;100 xenon;;;;;1.63;52 argon 12 split 20 boron 16 paranid;rest;100 xenon;
252;Faulty Logic IV;XEN;21500;0.11;100 xenon;;;0.79;100 xenon;0.028;100 xenon;2.35;100 xenon;1.27;100 xenon;13.75;100 xenon;;;;;4.78;42 paranid 22 boron 22 teladi 14 argon;rest;100 xenon;
253;Holy Vision I;HOP;65500;1.41;100 paranid;;;0.65;100 paranid;0.085;100 paranid;1.91;100 paranid;1.33;100 paranid;18.04;100 paranid;;;;;2.87;49 paranid 15 split 20 boron 16 teladi;rest;100 paranid;
254;Holy Vision II;HOP;72250;2.36;100 paranid;;;0.85;100 paranid;0.123;100 paranid;1.53;100 paranid;1.1;100 paranid;19.52;100 paranid;;;;;3.64;39 paranid 18 split 20 argon 23 boron;rest;100 paranid;
255;Holy Vision III;HOP;59500;1.07;100 paranid;;;0.77;100 paranid;0.132;100 paranid;1.85;100 paranid;1.29;100 paranid;16.56;100 paranid;;;;;3.93;45 paranid 21 split 21 argon 13 boron;rest;100 paranid;
256;Holy Vision IV;HOP;48750;3.49;100 paranid;;;0.89;100 paranid;0.127;100 paranid;1.14;100 paranid;1.17;100 paranid;16.18;100 paranid;;;;;1.96;38 paranid 22 split 19 argon 21 teladi;rest;100 paranid;
257;Holy Vision V;HOP;42250;1.71;100 paranid;;;0.76;100 paranid;0.136;100 paranid;1.33;100 paranid;1.38;100 paranid;16.44;100 paranid;;;;;2.24;45 paranid 20 split 21 argon 14 boron;rest;100 paranid;
258;Holy Vision VI;HOP;43500;1.42;100 paranid;;;0.79;100 paranid;0.075;100 paranid;1.13;100 paranid;1.22;100 paranid;17.4;100 paranid;;;;;1.95;44 paranid 25 argon 14 teladi 17 boron;rest;100 paranid;
